mavpackettype,TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
RAD,1323955328,188,176,94,28,36,0,0
RAD,1326016634,186,178,89,25,61,0,0
RAD,1326016695,186,178,89,25,61,0,0
RAD,1326968879,186,171,94,26,88,0,0
RAD,1326968936,186,171,94,26,88,0,0
RAD,1327976364,186,175,94,26,52,0,0
RAD,1327976389,186,175,94,26,52,0,0
RAD,1328950364,186,175,94,28,57,0,0
RAD,1328950390,186,175,94,28,57,0,0
RAD,1329931330,179,168,94,29,73,0,0
RAD,1329931454,179,168,94,29,73,0,0
RAD,1330938974,173,160,96,30,89,0,0
RAD,1330939026,173,160,96,30,89,0,0
RAD,1331956359,168,155,94,24,59,0,0
RAD,1331956413,168,155,94,24,59,0,0
RAD,1333033863,165,158,83,32,60,0,0
RAD,1333033890,165,158,83,32,60,0,0
RAD,1334074180,173,156,71,31,62,0,0
RAD,1334074205,173,156,71,31,62,0,0
RAD,1334939193,181,172,96,30,65,0,0
RAD,1334939218,181,172,96,30,65,0,0
RAD,1335964193,182,176,94,28,73,0,0
RAD,1335964249,182,176,94,28,73,0,0
RAD,1336952796,181,170,94,27,63,0,0
RAD,1336952820,181,170,94,27,63,0,0
RAD,1338976606,179,173,94,27,68,0,0
RAD,1338976703,179,173,94,27,68,0,0
RAD,1339901661,173,160,100,35,52,0,0
RAD,1339901687,173,160,100,35,52,0,0
RAD,1340966381,170,163,94,26,54,0,0
RAD,1340966407,170,163,94,26,54,0,0
RAD,1341946319,170,158,94,27,81,0,0
RAD,1341946374,170,158,94,27,81,0,0
RAD,1343950254,175,170,94,34,75,0,0
RAD,1343950306,175,170,94,34,75,0,0
RAD,1345041446,176,167,81,29,68,0,0
RAD,1345041472,176,167,81,29,68,0,0
RAD,1345950310,175,167,94,27,67,0,0
RAD,1345950335,175,167,94,27,67,0,0
RAD,1351956397,174,165,94,35,60,0,0
RAD,1351956422,174,165,94,35,60,0,0
RAD,1353039686,175,164,81,35,85,0,0
RAD,1353039728,175,164,81,35,85,0,0
RAD,1353952720,175,164,94,36,85,0,0
RAD,1353952745,175,164,94,36,85,0,0
RAD,1354978869,175,163,94,28,70,0,0
RAD,1354978894,175,163,94,28,70,0,0
RAD,1355933903,175,166,97,46,65,0,0
RAD,1355933991,175,166,97,46,65,0,0
RAD,1356939275,175,168,96,35,68,0,0
RAD,1356939361,175,168,96,35,68,0,0
RAD,1357946317,175,166,94,36,60,0,0
RAD,1357946373,175,166,94,36,60,0,0
RAD,1358961821,173,164,94,31,67,0,0
RAD,1358961850,173,164,94,31,67,0,0
RAD,1359953820,171,159,94,38,69,0,0
RAD,1359953901,171,159,94,38,69,0,0
RAD,1360918922,171,159,96,42,62,0,0
RAD,1360918948,171,159,96,42,62,0,0
RAD,1361952773,169,159,94,33,73,0,0
RAD,1361952799,169,159,94,33,73,0,0
RAD,1363026719,169,161,86,33,63,0,0
RAD,1363026744,169,161,86,33,63,0,0
RAD,1363946405,169,157,94,32,59,0,0
RAD,1363946430,169,157,94,32,59,0,0
RAD,1365173831,164,152,54,35,67,0,0
RAD,1365173929,164,152,54,35,67,0,0
RAD,1365964307,165,155,94,31,65,0,0
RAD,1365964332,165,155,94,31,65,0,0
RAD,1366943840,166,151,94,35,91,0,0
RAD,1366943869,166,151,94,35,91,0,0
RAD,1367914162,166,156,100,34,81,0,0
RAD,1367914247,166,156,100,34,81,0,0
RAD,1369006371,164,149,92,29,85,0,0
RAD,1369006396,164,149,92,29,85,0,0
RAD,1370006344,170,152,92,39,57,0,0
RAD,1370006424,170,152,92,39,57,0,0
RAD,1371948914,171,161,94,29,52,0,0
RAD,1371948939,171,161,94,29,52,0,0
RAD,1373043801,169,157,80,42,70,0,0
RAD,1373043828,169,157,80,42,70,0,0
RAD,1373989114,167,155,94,42,82,0,0
RAD,1373989141,167,155,94,42,82,0,0
RAD,1374984048,167,153,94,27,58,0,0
RAD,1374984154,167,153,94,27,58,0,0
RAD,1375939114,167,157,96,30,67,0,0
RAD,1375939152,167,157,96,30,67,0,0
RAD,1376946724,167,158,94,47,75,0,0
RAD,1376946751,167,158,94,47,75,0,0
RAD,1377949402,167,157,94,29,60,0,0
RAD,1377949429,167,157,94,29,60,0,0
RAD,1378946609,167,158,94,31,60,0,0
RAD,1378946704,167,158,94,31,60,0,0
RAD,1379946709,167,155,94,28,72,0,0
RAD,1379946736,167,155,94,28,72,0,0
RAD,1380938845,167,159,96,27,44,0,0
RAD,1380938872,167,159,96,27,44,0,0
RAD,1381959259,167,158,94,26,47,0,0
RAD,1381959327,167,158,94,26,47,0,0
RAD,1383028847,167,158,85,30,83,0,0
RAD,1383028874,167,158,85,30,83,0,0
RAD,1385062072,167,158,75,26,63,0,0
RAD,1385062152,167,158,75,26,63,0,0
RAD,1385934050,167,159,97,26,57,0,0
RAD,1385934132,167,159,97,26,57,0,0
RAD,1386968902,167,155,94,23,62,0,0
RAD,1386968933,167,155,94,23,62,0,0
RAD,1387913784,167,157,100,25,61,0,0
